Ref,Status,Location,Description,Created,Target,Type,To Organisation,To Package,Status Changed,Association,OverDue,Images,Comments,Documents
T77364.32,Opened,Site Main>Site Area I,Chipped concrete was caulked over.,2023-01-16,2023-01-23,Quality Control,"Innovative Concrete, LLC",Concrete,2023-01-16,,False,True,False,False
T77364.31,Opened,Site Main>Site Area D,Ground wire needs to be cored through wall,2023-01-16,2023-01-23,Quality Control,Wilkinson Electric Inc,Electrical,2023-01-16,,False,True,False,False
T77364.30,Opened,Site Main>Site Area D,Clean concrete splashed on building,2023-01-13,2023-01-20,Quality Control,"Innovative Concrete, LLC",Concrete,2023-01-13,,False,True,False,False
T77364.29,Opened,Site Main>Site Area D,Fix elevation of clean out and finish,2023-01-13,2023-01-20,Quality Control,US Mechanical,Plumbing,2023-01-13,,False,True,False,False
T77364.28,Opened,Site Main>Site Area D,Extra expansion joint material,2023-01-13,2023-01-20,Quality Control,"Innovative Concrete, LLC",Concrete,2023-01-13,,False,True,False,False
T77364.27,Opened,Site Main>Site Area D,Leftover concrete on sidewalk,2023-01-13,2023-01-20,Quality Control,"Innovative Concrete, LLC",Concrete,2023-01-13,,False,True,False,False
T77364.26,Opened,Site Main>Site Area G,Tree has grown cricked.  Does not meet temple quality.,2023-01-13,2023-01-20,Quality Control,"Stratton & Bratt Landscapes, LLC.",Landscape,2023-01-13,,False,True,False,False
T80506.211,Opened,Historical Level 5 AE105>526 - Instruction 16,"Repair golf leaf on ceiling ",2023-01-13,2023-01-20,Quality Control,"Finessed Finishes, Inc.",Gold Leafing -- Finessed Finishes,2023-01-13,,False,True,False,False
T80506.210,Opened,Historical Level 5 AE105>525 - Instruction 15,"Repair golf leaf on ceiling ",2023-01-13,2023-01-20,Quality Control,"Finessed Finishes, Inc.",Gold Leafing -- Finessed Finishes,2023-01-13,,False,True,False,False
T77364.25,Opened,Site Main>Site Area D,Wielding burned concrete,2023-01-13,2023-01-20,Quality Control,Ducworks,Decorative Metal -- Ducworks,2023-01-13,,False,False,False,False
T77364.24,Opened,Site Main>Site Area D,Wielding burned concrete,2023-01-13,2023-01-20,Quality Control,Ducworks,Decorative Metal -- Ducworks,2023-01-13,,False,True,True,False
T80506.209,Opened,Annex Level 1 AE101>154 - Dressing - Women,"Remove tape from ceiling grid ",2023-01-11,2023-01-18,Quality Control,"Westland Construction, Inc.",,2023-01-11,,False,True,False,False
T80506.207,Opened,Annex Level 1 AE101>154 - Dressing - Women,Finish locker install,2023-01-11,2023-01-18,Quality Control,"Westland Construction, Inc.",,2023-01-11,,False,True,False,False
