Ref,Status,Location,Description,Created,Target,Type,To Organisation,To Package,Status Changed,Association,OverDue,Images,Comments,Documents
T1.9773613,Opened,S590 St. George Temple Renovation,"Site Visit Report 02-16-2023, Item 2: 
Cover all VAV box control panels. Typical comment. ",2023-02-28,2023-03-03,Field Report Task,US Mechanical,HVAC,2023-02-28,,False,,,
T80948.666,Verified Complete (w/Photo),Historical Level 2 AE102>201 - Stair Lobby,Outlet not level,2023-02-23,2023-03-02,Final Punch List,Wilkinson Electric Inc,,2023-02-27,,False,True,True,False
T81309.8,Verified Complete (w/Photo),Historical Level 2 AE102>209 - Instruction Room A-2,chandelier at north east corner of room 208 is not oriented in the same direction as the rest of the chandeliers.,2023-02-23,2023-03-02,Quality Control,Wilkinson Electric Inc,Electrical,2023-02-27,,False,True,True,False
T81309.7,Verified Complete (w/Photo),Historical Level 2 AE102>209 - Instruction Room A-2,Chandelier at north east corner of room 209 is not oriented the same as the other lights in the room.,2023-02-23,2023-02-24,Quality Control,Wilkinson Electric Inc,Electrical,2023-02-27,,False,True,True,False
T80948.665,Verified Complete (w/Photo),Historical Level 2 AE102>201 - Stair Lobby,Outlet not level,2023-02-23,2023-03-02,Final Punch List,Wilkinson Electric Inc,,2023-02-27,,False,True,True,False
T80948.664,Verified Complete (w/Photo),Historical Level 2 AE102>201 - Stair Lobby,Outlet not level,2023-02-23,2023-03-02,Final Punch List,Wilkinson Electric Inc,,2023-02-27,,False,True,True,False
T80948.663,Verified Complete (w/Photo),Historical Level 2 AE102>201 - Stair Lobby,Switch not level,2023-02-23,2023-03-02,Final Punch List,Wilkinson Electric Inc,,2023-02-27,,False,True,True,False
T80948.662,Opened,Historical Level 2 AE102>201 - Stair Lobby,Joint at crown molding needs addressed,2023-02-23,2023-03-02,Final Punch List,"Westland Construction, Inc.",,2023-02-23,,False,True,False,False
T80948.661,Opened,Historical Level 2 AE102>201 - Stair Lobby,Paint runs on millwork,2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.660,Opened,Historical Level 2 AE102>201 - Stair Lobby,Clean off fingerprints of all walls and doors,2023-02-23,2023-03-02,Final Punch List,"Westland Construction, Inc.",,2023-02-23,,False,True,False,False
T80948.659,Opened,Historical Level 2 AE102>201 - Stair Lobby,Dust tops off millwork,2023-02-23,2023-03-02,Final Punch List,"Westland Construction, Inc.",,2023-02-23,,False,True,False,False
T80948.658,Opened,Historical Level 2 AE102>201 - Stair Lobby,"Clean and paint top of door edge, typical",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.657,Opened,Historical Level 2 AE102>201 - AV,Caulking threshold,2023-02-23,2023-03-02,Final Punch List,"Global Stone and Tile, LLC",,2023-02-23,,False,True,False,False
T80948.656,Opened,Historical Level 1 AE101A>184 - Stair Lobby,Caulking threshold,2023-02-23,2023-03-02,Final Punch List,"Global Stone and Tile, LLC",,2023-02-23,,False,True,False,False
T80948.655,Opened,Historical Level 1 AE101A,"Paint touch up ",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.654,Opened,Historical Level 1 AE101A,Hand rails need tightened,2023-02-23,2023-03-02,Final Punch List,Fetzers' Inc.,,2023-02-23,,False,True,False,False
T80948.653,Opened,Historical Level 1 AE101A,Finish to edge of millworker,2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.652,Opened,Historical Level 2 AE102>203 - Elevator Lobby,Fix caulking,2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.651,Opened,Historical Level 2 AE102,"Paint touch up ",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.650,Opened,Historical Level 2 AE102>207 - Janitor Storage,"Paint touch up ",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.649,Opened,Historical Level 2 AE102>203 - Elevator Lobby,"Paint touch up ",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.648,Opened,Historical Level 2 AE102>203 - Elevator Lobby,"Paint touch up ",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.647,Opened,Historical Level 2 AE102>204 - Vest,"Paint touch up ",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.646,Opened,Historical Level 2 AE102>204 - Vest,Clean off carpet glue,2023-02-23,2023-03-02,Final Punch List,The Church Of Jesus Christ Of Latter Day Saints,FFE -- Carpet,2023-02-23,,False,True,False,False
T80948.645,Opened,Historical Level 2 AE102>203 - Elevator Lobby,Patch and paint,2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.644,Verified Complete (w/Photo),Historical Level 2 AE102>203 - Elevator Lobby,"Clean out elevator track, typical",2023-02-23,2023-03-02,Final Punch List,"Westland Construction, Inc.",,2023-02-27,,False,True,False,False
T80948.643,Opened,Historical Level 2 AE102>203 - Elevator Lobby,Paint touch up at crown,2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.642,Opened,Historical Level 2 AE102>204 - Vest,"Paint touch up ",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.641,Opened,Historical Level 2 AE102>203 - Elevator Lobby,Fix caulking,2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.640,Verified Complete (w/Photo),Historical Level 2 AE102>201 - Stair Lobby,Outlet not level,2023-02-23,2023-03-02,Final Punch List,Wilkinson Electric Inc,,2023-02-27,,False,True,True,False
T80948.639,Opened,Historical Level 2 AE102>209 - Instruction Room A-2,Patch holes/ paint,2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.638,Opened,Historical Level 2 AE102>201 - Stair Lobby,Fix caulking,2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.637,Opened,Historical Level 2 AE102>201 - Stair Lobby,Fix caulking,2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.636,Opened,Historical Level 2 AE102>201 - Stair Lobby,"Paint touch up , typ.",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.635,Opened,Historical Level 2 AE102>201 - Stair Lobby,Fix caulking,2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.634,Opened,Historical Level 2 AE102>201 - Stair Lobby,Patch millwork,2023-02-23,2023-03-02,Final Punch List,Fetzers' Inc.,,2023-02-23,,False,True,False,False
T80948.633,Opened,Historical Level 2 AE102>Level 2 West Stair Tower,"Paint touch up ",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.632,Opened,Historical Level 2 AE102>Level 2 West Stair Tower,"Paint touch up ",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.631,Verified Complete (w/Photo),Historical Level 2 AE102>Level 2 West Stair Tower,Dots need adjusted,2023-02-23,2023-03-02,Final Punch List,Fetzers' Inc.,,2023-02-27,,False,True,False,False
T80948.630,Opened,Historical Level 2 AE102>218 - Lobby,Hinge finish is worn off,2023-02-23,2023-03-02,Final Punch List,"Westland Construction, Inc.",,2023-02-23,,False,True,False,False
T80948.629,Opened,Historical Level 2 AE102>213 - Vest,"Paint touch up ",2023-02-23,2023-03-02,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-23,,False,True,False,False
T80948.628,Opened,Historical Level 2 AE102>213 - Vest,Adjust canopy to cover box,2023-02-23,2023-03-02,Final Punch List,Wilkinson Electric Inc,,2023-02-23,,False,True,False,False
T80948.627,Opened,Historical Level 1 AE101A>184 - Stair Lobby,Crown molding joints need addressed,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.626,Opened,Historical Level 1 AE101A>183 - Storage,Walls need finished and painted,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.625,Opened,Historical Level 1 AE101A>183 - Storage,"Paint touch up ",2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.624,Opened,Historical Level 1 AE101A>184 - Stair Lobby,"Paint touch up ",2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.623,Opened,Historical Level 1 AE101A>184 - Stair Lobby,"Clean recessed light bezels, typical throughout",2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,False,False,False
T80948.622,Opened,Historical Level 1 AE101A>185 - Elevator Lobby,"Clean recessed light bezels, typical throughout",2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,False,False,False
T80948.621,Opened,Historical Level 1 AE101A>188 - Vestibule,Paint touch up and clean around registers,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.620,Complete,Historical Level 1 AE101A>187 - Mens Restroom,Missing the right vanity light,2023-02-22,2023-03-01,Final Punch List,Wilkinson Electric Inc,Electrical,2023-02-27,,False,True,True,False
T80948.619,Complete,Historical Level 1 AE101A>186 - Womens Restroom,Missing the right vanity light,2023-02-22,2023-03-01,Final Punch List,Wilkinson Electric Inc,Electrical,2023-02-27,,False,True,True,False
T80948.618,Opened,Historical Level 1 AE101A>186 - Womens Restroom,"Grout lines are rough and needed smoother, typ.",2023-02-22,2023-03-01,Final Punch List,"Global Stone and Tile, LLC",Tile,2023-02-22,,False,True,False,False
T80948.617,Verified Complete (w/Photo),Historical Level 1 AE101A>186 - Womens Restroom,Clean up room,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-27,,False,True,False,False
